A,B,C,D,E,F
1.12,0.7352348608,0.795,0.9467047821,0.9488491049,6.6990182134
1.1346154044,0.7092274108,0.7383884046,0.9404484561,0.9314385568,6.2387907881
1.1743119266,0.7459000375,0.8122133028,0.9514576514,0.964466573,6.6018662193
1.0948905109,0.728696741,0.7504622871,0.940318505,0.9520634627,7.0932865598
1.0917431193,0.7375813288,0.7822064606,0.9456578441,0.9586620683,7.3807067778
0.9754098361,0.7369009291,0.7790673647,0.9456540227,0.9543920344,7.2352243616
1.0434782609,0.7407337039,0.7475724638,0.9478296313,0.9568261918,6.4329055098
1.0555555556,0.746877033,0.7640031067,0.9415501424,0.9549166286,8.1554152457
0.8958333113,0.7652125579,0.7985576364,0.9482054594,0.9667622523,8.6542579094
0.954887218,0.7448181296,0.7848558404,0.9502491801,0.9643558595,7.0891769367
0.8004940561,0.7392121,0.7782928834,0.951703545,0.9547287843,6.0864694461
0.9210526316,0.7420235914,0.7501644737,0.9477302599,0.9558695847,7.4771701068
1.0671641791,0.7575263855,0.7663605052,0.9474162565,0.9570828038,7.449286631
1.0869565217,0.7257961584,0.74852657,0.9388280719,0.9513707672,7.1170016901
1.2912621359,0.685148015,0.748704285,0.9501533622,0.9251758975,4.8202937984
0.8147962717,0.7130314946,0.7402203723,0.942142253,0.9509214293,7.0969823757
1.2680412793,0.7192184051,0.7995140964,0.9468383144,0.945157295,6.2596160896
1.016,0.739738742,0.7801889764,0.9505030656,0.9583704105,6.4041780872
1.3958333241,0.6832006625,0.7385946427,0.938538271,0.9307441355,6.2029071515
0.845996492,0.7386134813,0.8093484336,0.9480800589,0.9590911261,7.2077144845
1.4347327098,0.6507268843,0.7362281153,0.9337579183,0.9005976382,5.4335820735
1.0769230882,0.723804413,0.7538635375,0.9445125517,0.9400492453,6.4698962377
1,0.7586852128,0.7667245262,0.9475932696,0.9586755045,7.7127555147
0.9242424242,0.7417373695,0.7554955291,0.9527729441,0.9527781041,6.8621051424
1.1730769231,0.7262600887,0.7805800757,0.9497540972,0.9476151749,5.6936391046
1.1057692308,0.750233341,0.7776337793,0.9531373343,0.9631336406,6.6493572614
1.0512820513,0.7366582414,0.7709332222,0.9503345344,0.951827385,6.7395358337
0.7944974445,0.7396685627,0.7787938355,0.9519515873,0.9559097495,6.6734392115
1.0854700855,0.7799842388,0.8108890235,0.9550432149,0.9709496757,6.8670254409
1.1428571429,0.7516016341,0.7755808206,0.9519966733,0.9556875286,6.8425520346
0.7446808361,0.7202688533,0.757084825,0.9495556507,0.9466204213,6.2595674115
1.02721089,0.7576315077,0.7787767303,0.9450608332,0.9567732116,7.9404907985
0.7947959637,0.7390895755,0.779230383,0.9516762652,0.9561066336,6.3763004429
0.9847328244,0.767227031,0.7865554175,0.9504303114,0.9644113913,7.3894021683
0.8541667417,0.7732634798,0.8001357702,0.9527739881,0.9675371224,8.4583515606
0.9271523179,0.7397459517,0.7528145695,0.9459800743,0.9549654965,7.4470089524
1.0370370423,0.7649523431,0.7880706552,0.9527073327,0.9630733482,6.8351680933
1,0.7674682701,0.8149589038,0.9569464098,0.9706664042,6.6424891755
1.0238095238,0.7542237776,0.7639042697,0.9464204926,0.9618110694,7.1092361917
1.0689655172,0.7612348349,0.7751946607,0.9481710353,0.9539779883,7.1607872306
0.9914529915,0.7560523044,0.7718832891,0.9502112513,0.9602639901,7.4232200893
1.0075757576,0.7427063996,0.7624743677,0.9464770291,0.9549832346,7.3211153476
1.2424242424,0.696154398,0.7451265706,0.9382072048,0.9341537571,6.4374202795
1.3499671501,0.6837584978,0.7472500498,0.9345085032,0.9285127612,6.1325944207
0.7069820274,0.6960429828,0.7518005637,0.9478711203,0.9417281481,6.1229343275
1.0403225806,0.7357561068,0.7603150788,0.948623545,0.9532094992,6.8186326541
0.9013157895,0.7589666636,0.7911784479,0.9455590856,0.9652010897,8.4654201044
1.1391304348,0.7159180775,0.7686359111,0.9421884929,0.9421504414,6.4690962129
1.0769230769,0.7697170729,0.8016826923,0.9545536966,0.969829153,7.3616605201
0.9756097561,0.737230148,0.7798102981,0.9457348498,0.955702246,6.8876616514
1.0697674419,0.7302825726,0.7474160207,0.9459454867,0.9494434137,6.7895285453
1.4993707257,0.6851777461,0.7281261937,0.9484257133,0.9266921847,5.2073734565
0.9342105263,0.7696316061,0.7936897702,0.9478298516,0.9645833333,8.9353168113
1.1485148515,0.7160389284,0.7459030386,0.9433889064,0.9336538462,6.17878148
1.0720720721,0.7344763881,0.7639866758,0.9492857933,0.9535575924,6.7464350973
1.4637343255,0.6791952963,0.7258634603,0.9404190463,0.9161993097,5.3488116158
0.8333333333,0.715147574,0.7411845085,0.9410542486,0.9522813309,7.0102231841
1.0084033613,0.7254675628,0.7839285714,0.943495265,0.9493300543,6.9739746628
0.8904109589,0.7329059787,0.789805058,0.9428359155,0.9633687864,7.8704338343
1.4673913043,0.6464379117,0.7594605475,0.9422714578,0.9092442645,4.6868328436
1.1538461538,0.6783119692,0.7697372586,0.9404854184,0.9272775807,5.6437260856
1.0272727273,0.738216009,0.7792839903,0.9529693577,0.9550877539,5.8654660245
1.2380951274,0.7662551404,0.826776871,0.9570824532,0.9620236979,6.4955142403
1.1523809524,0.7512072641,0.8142857143,0.9499323276,0.9640311233,7.328991223
1.2768428045,0.7130561775,0.7529510811,0.9445498932,0.9426745607,6.0756158395
1.4476490849,0.6972922748,0.7696317305,0.9406358789,0.9347192337,5.8915786403
1.0666666667,0.7582508501,0.756867284,0.9484164725,0.9566644993,7.20162685
1.1,0.7220316667,0.7752066116,0.9443521748,0.9471268588,6.682880107
0.7400899846,0.7171988089,0.7553841839,0.9492928028,0.9466106534,6.1496562256
1.1923076923,0.7205074637,0.7593827543,0.9441387169,0.9442221472,6.1538648156
0.7780138744,0.7091400878,0.7879240434,0.9439503515,0.9373137066,6.2478535138
1.4054869232,0.7240202977,0.7606907578,0.9475012704,0.9464346309,5.8862108426
1.4317803147,0.688900785,0.7300756628,0.9415270102,0.9179289452,5.4068017183
1.1844660194,0.7056350231,0.7318558014,0.9433032619,0.9261329305,5.9928361541
1.1111111111,0.7197086184,0.7908564815,0.9464865475,0.9406231359,5.8568796822
1.2169811321,0.7493372491,0.8041538687,0.9498345478,0.9614829712,6.8556276879
0.7105782639,0.6959792751,0.7505845633,0.9461980615,0.9435691185,5.9919666163
1,0.7429408399,0.7800292969,0.9500787515,0.959963945,6.4709833842
1.0508474576,0.7226989287,0.7817113177,0.9522742725,0.9594027848,6.2568279985
1.0673077022,0.7272911601,0.7587926619,0.9450002112,0.9416285945,6.3070147631
1.1634615385,0.7459090825,0.7684361093,0.9497176011,0.9521465144,6.5982499637
0.7977612151,0.7278177228,0.7478198618,0.9454477933,0.9553415607,7.2187466117
0.9242424242,0.7383930407,0.7606805763,0.9509914369,0.9538269875,6.512403195
1.2156862745,0.6995742662,0.7330803289,0.9411822818,0.9259499675,5.9904714598
1.0636363636,0.7353088151,0.7467754468,0.9466962663,0.9505019038,6.4988411521
1,0.768622294,0.7837269395,0.950531776,0.963932003,7.459570848
1.1764705882,0.7241991011,0.7904003268,0.949979133,0.9452369321,5.7938383574
1.1481481481,0.7119999341,0.7710200119,0.9508665401,0.9357469754,5.2156819258
1.0512820513,0.7580862244,0.7827114169,0.949809736,0.9600272735,7.2513993634
1.0869565217,0.7477355372,0.7655072464,0.9458288005,0.9502278724,7.2311422096
1.5038559243,0.681785851,0.7281766043,0.9451425535,0.9282891291,5.3738291492
1.2407407407,0.7336170371,0.8190298507,0.9521935535,0.9618989653,6.3752479116
1.2264150943,0.7060161079,0.7472423803,0.943306404,0.9364740121,5.8989645391
0.7883473142,0.7220190985,0.7675414007,0.9487772835,0.9484191622,6.2052997669
1.1009174312,0.7252914477,0.7927752294,0.9464148519,0.9442699085,6.2280456081
1.5175488112,0.6709321698,0.7651572431,0.9382144204,0.9284463268,5.6108422345
1,0.7541285392,0.780670166,0.9439666564,0.961185842,8.1659197376
0.8337506881,0.7343378263,0.8098002229,0.9464790772,0.9555198032,7.4041387918
0.6833310007,0.6710182808,0.7430334048,0.9413930666,0.9266129973,5.8062357405
1.41149353,0.6802462208,0.7283384334,0.9405788277,0.9286615191,6.0924079175
1.4769732407,0.6792247485,0.7628454698,0.9398809013,0.9303495338,5.7706430571
1.4565217391,0.647607402,0.7593689163,0.9416520498,0.9102532938,4.6524370675
1.0538461538,0.730277207,0.7489051095,0.9461940787,0.9493914158,6.1866724619
0.7303046482,0.7189895736,0.7745814463,0.9530849245,0.9517444592,6.8551359326
0.8213131228,0.7193148894,0.7382689001,0.9442705158,0.9520543428,6.9692744911
0.940397351,0.7729439129,0.7930929951,0.9514210983,0.9655084313,8.5871863668
1.2132352941,0.7000585192,0.7444518717,0.9380412792,0.9353321576,6.3718972415
1.035971223,0.7504872931,0.7683603118,0.9433514129,0.9558124359,7.9658584127
1.2571428571,0.6875007267,0.7482323232,0.9471563275,0.9261442286,4.8443168625
1.1238095238,0.7067973139,0.7413236481,0.9423835518,0.9286689247,5.9558211494
1.2358490566,0.7120340893,0.7507561573,0.9441222207,0.9389354229,6.2264792617
1.2476189383,0.7545075353,0.8270450239,0.9522665147,0.9620295983,6.1127732784
0.8548278665,0.7351924942,0.7813126353,0.9489526875,0.9605773982,6.6802576379
1.1186440678,0.7231885267,0.79230868,0.9470434484,0.9541518478,6.5726315365
1.4954954955,0.6822520464,0.7740149788,0.9396583382,0.9320350281,5.7594529138
0.7143329409,0.7012239699,0.7506676944,0.9460131112,0.9426032762,6.1604086629
1.0784313725,0.728803598,0.7639928699,0.943497283,0.9459280512,6.5344700962
0.8551724885,0.7691663566,0.7998890321,0.9505748662,0.9679959616,8.3282447626
1.3027581732,0.7090971621,0.7508626785,0.9428846375,0.9383586406,6.3230858776
1.4259001272,0.6455570088,0.7448076887,0.9307000082,0.9025828083,5.3315024982
1.2961316081,0.7125166729,0.7516633651,0.9444368326,0.9432386524,6.2558720184
1.2574257426,0.6979440145,0.7543073205,0.9475323842,0.9329829806,5.1619289987
1.2407407407,0.7533599009,0.7934977888,0.9510969168,0.9617671692,6.5814714795
1.4555102473,0.692088493,0.760539989,0.939830274,0.9324750034,5.9287807969
1.3379501977,0.6949731684,0.7566857223,0.9386539356,0.932003218,6.254949661
1.1009174312,0.7259908954,0.7935397554,0.9473653948,0.9438054103,6.2905527182
1.0181818182,0.7387121137,0.7835633117,0.9546486792,0.9545162407,5.7134655466
1.2815533981,0.6821554103,0.745844366,0.9446981881,0.9259884942,5.052545866
1.40653453,0.6739626519,0.7302386097,0.9350467682,0.9091198544,5.4841339452
1.25,0.7549414339,0.7931412894,0.9503040807,0.9654366338,7.2306966254
0.7836389827,0.7251364049,0.7740743549,0.9493408832,0.9502796261,6.3535318182
1.234375,0.7258441284,0.7640427215,0.9445807471,0.9445853837,6.7977510942
1.2571427492,0.7535628332,0.8241705845,0.9526643494,0.9604405768,6.1395358596
1.128440367,0.7319742977,0.7845155516,0.9470440131,0.9543165631,6.9991816108
1.1904761905,0.718012639,0.7857142857,0.9443837564,0.9458405943,6.4793197297
0.9389312977,0.7596597767,0.7801464656,0.9508815575,0.9606434603,7.7231035429
1.0727272727,0.7373558461,0.7721109399,0.9495984833,0.9565715377,6.9540647863
0.7902011987,0.7210816602,0.7467640104,0.9430521933,0.9543024712,6.7968443708
1.214953271,0.7494500417,0.8001797268,0.9507970705,0.9614736751,6.8644241795
0.9248120301,0.7321978484,0.7487315851,0.9471136922,0.9513398058,6.6441924852
1.4109900655,0.6712255025,0.7240006622,0.9359435432,0.905255814,5.3886260037
0.7149355761,0.708339033,0.750044091,0.9500974663,0.9431959782,6.1840751598
0.984,0.7437881112,0.7930081301,0.9513291872,0.9623885074,6.5735627272
1.1588785047,0.7274648782,0.7909255351,0.9461652074,0.9511465603,6.9529072793
1.1619047619,0.7193228538,0.7904761905,0.9432961912,0.9477280172,6.8678882515
1.1782178218,0.7005909702,0.7351693153,0.9394392793,0.9239295237,5.774629403
0.8046267283,0.7211927211,0.8010806231,0.9464302005,0.9460381884,6.7467900275
1.1150442478,0.7230064934,0.7574097486,0.9457982477,0.9391274057,6.2644994678
0.8593749832,0.763242223,0.8001777632,0.9531205392,0.9679123711,7.7388051574
1.0085470085,0.7475567197,0.7888236998,0.9481444556,0.9590084537,7.294391617
0.7069177614,0.6978497479,0.7519502976,0.9477525857,0.9414077203,5.9909793963
0.9663865546,0.758039841,0.8029229083,0.9525841488,0.9674664319,7.0213215511
1.0188679245,0.7696751191,0.8154699511,0.9567176521,0.9683626368,6.8024816367
1.2571428571,0.7446622152,0.8237373737,0.9482235228,0.9586464587,6.9031243369
1.0895522388,0.7500413623,0.7639030873,0.9460995585,0.9535202731,7.1289389892
1.0776699029,0.7709009846,0.802763929,0.9564224854,0.9699339498,7.1474313475
1.0588235294,0.7033114851,0.7897158864,0.9492425892,0.9459934489,5.3094249621
1.0992907801,0.7276239021,0.7617021277,0.9404811393,0.9488984524,7.8563224825
1.1818181818,0.7086010573,0.7503146853,0.9494233387,0.9374017124,5.1013286494
0.7867911912,0.7404298757,0.7851011879,0.9505222423,0.9582703233,6.8353269444
1.0444444444,0.761776454,0.7632781718,0.9501038711,0.9584721443,7.13697143
1.1442307692,0.7583404781,0.8051470588,0.9517690965,0.9656926879,7.4166922192
1.2169811321,0.7437217449,0.7799107796,0.9517500501,0.9640225989,7.0141377608
1.3333333333,0.6946788295,0.7431061394,0.9472259759,0.9334458907,5.3891628239
1.1472868217,0.7117037375,0.7299392416,0.941503555,0.938704028,6.1176117055
1.0131578947,0.7756581136,0.7718301435,0.9476276794,0.9646022424,8.5394462663
1.0260869565,0.7726285592,0.800036846,0.9535675314,0.9660956618,7.5966488444
1.078125,0.730653629,0.7854676178,0.9468563045,0.956268523,6.6426096475
0.7935695848,0.7452565909,0.7897853212,0.9508061133,0.9611017054,6.8466405666
1.0625,0.7504646194,0.7696986202,0.9465488534,0.9536878216,6.8605748171
1.278846048,0.7507760015,0.8259112419,0.9522178519,0.9593953391,6.7784169977
1.0825688073,0.730201225,0.7919841393,0.9456194243,0.9516535874,7.0360522638
0.9754098361,0.7359458957,0.7792740047,0.9470021898,0.9510739355,6.8878990738
1.0396825397,0.7674432585,0.7849266933,0.9496884129,0.9601304283,7.8880958257
1.1832688811,0.7223041308,0.7607058086,0.94229358,0.944307651,6.5134267527
1.0630630631,0.7333846615,0.7693159261,0.947353587,0.9567962778,7.3932612177
1.106557377,0.7526382081,0.7726168792,0.9507958789,0.9580635446,6.9970073104
1.2416666667,0.6987872366,0.7504474273,0.9387814201,0.9316438118,6.0253670068
1.015625,0.7466927946,0.7908052885,0.9513312165,0.9629358604,6.8486253174
1.0551724138,0.7510996157,0.7731800766,0.9461374464,0.9525475496,7.2027567363
1.1879699248,0.7010018864,0.7521414295,0.938629151,0.9368165249,6.6151275599
1.0915492958,0.7247857275,0.7590186279,0.9399135718,0.9467033123,7.6558271577
0.6955436996,0.7079781151,0.7751705229,0.9525231093,0.9514325179,6.305481058
1.0277777778,0.7620634584,0.7921671672,0.950812874,0.9647483111,7.102865355
0.9295774648,0.7259165127,0.7763551003,0.9430663069,0.9582194712,7.1408587847
0.7052217125,0.7031200969,0.7525441215,0.9496640803,0.9401821094,6.1587830195
1.1157024793,0.7505523104,0.7748699112,0.9491177737,0.9564740998,7.0314239467
1.4928606045,0.6587965444,0.7413661996,0.9345446551,0.9154660342,5.4066134737
0.9276315789,0.7746150945,0.795912654,0.9491830479,0.9665958351,8.9282339591
0.9758064516,0.7481341129,0.7929552119,0.9521543302,0.9628925219,6.5035664115
0.7971241696,0.7171562234,0.7607846459,0.9483659294,0.9495234733,6.3086711962
1.1367521368,0.6784320099,0.7740826425,0.9404922048,0.9262562959,5.8049525971
0.8217435063,0.7163001718,0.795124656,0.9476415084,0.955567942,6.1312949655
1.0353982301,0.7435668843,0.7867786098,0.947092701,0.9590632491,7.2308214375
1.0080645161,0.7474158051,0.7916451613,0.9538043139,0.9617886816,6.2081921043
1.432353058,0.6915853033,0.7361089683,0.9402301079,0.9235999078,5.6142684842
1.0483870968,0.7556350773,0.7621277916,0.9485590453,0.9596922236,6.6894450466
1.2574257426,0.7112796275,0.7361814922,0.947423867,0.9414286426,5.9144243261
1.1008403361,0.7660381719,0.7930912823,0.9487026098,0.960383734,7.6156629523
1.0546875,0.7313262909,0.78515625,0.9479289359,0.9567041568,6.7930231468
1.1355932203,0.762272296,0.7752023779,0.9522531301,0.9602428515,6.574008637
1.0486111111,0.7579632671,0.7693386681,0.9489412758,0.9545778767,6.9384385641
0.9758064516,0.7391384715,0.7719941349,0.9471997382,0.952784404,7.0406769967
0.9103448087,0.7654772903,0.7953504035,0.950423099,0.9639690983,8.1163906112
1.0714285714,0.7331316109,0.7431547619,0.944701495,0.9490237066,6.4937100971
0.8143766774,0.7151784961,0.7424035892,0.9418511994,0.9518417243,6.8464841715
0.972972973,0.7629230399,0.7763701201,0.9471764856,0.9611943767,8.031489274
1.0563380282,0.758329284,0.7731455399,0.9485035815,0.9556084257,6.8289739691
0.9621212121,0.7367645859,0.7518790265,0.9477719436,0.9553930114,6.5939955802
1.4272061977,0.6819696223,0.7646971599,0.9352349888,0.9268486524,5.9619015712
1.5216460622,0.6687113209,0.7523436813,0.9361598183,0.924383839,5.5291274727
0.8515625,0.7649033987,0.8004945528,0.9506029389,0.9693616283,7.9084772574
1.0673076923,0.7577616261,0.7767671518,0.9483055059,0.9632096246,7.0897895908
1.4347826087,0.6462596487,0.7578639657,0.9393016724,0.9099762705,4.8454054874
1.4295359706,0.651554579,0.7444383563,0.9339478403,0.9051542583,5.3652563167
1,0.7621076017,0.7873375677,0.9505753952,0.9629405267,7.6364887257
1.2095238095,0.7120889708,0.7491188601,0.9441225089,0.9423167626,5.9555769277
1.3017578441,0.7529142886,0.7697812955,0.9485740443,0.9569558936,6.8918837578
1.125000017,0.7226674587,0.7800809831,0.945504128,0.9490086207,6.4634614157
1.0909090909,0.7330082737,0.7681818182,0.9486378218,0.9516212285,6.7655396469
1.2571427492,0.7477443523,0.8218257063,0.9499422367,0.9584332534,6.3540291279
0.9465648855,0.7512064209,0.7795493721,0.946380918,0.9596089724,7.680562141
1.1747572816,0.749922414,0.7759367728,0.9513505859,0.9529463934,6.4641579254
1.0352112676,0.7231940824,0.7386461627,0.9391112555,0.9424799046,7.699436223
0.8176567217,0.7200970709,0.7962640181,0.9453228539,0.9430875889,6.7561949704
0.7820003158,0.6967052981,0.7517050424,0.9456927034,0.936359965,6.2061704763
0.984,0.7490328558,0.7915772358,0.9519522741,0.9643819334,6.4947367073
0.7948529723,0.7122945359,0.7901355996,0.9434762486,0.9432559478,6.4791676442
1.1120689655,0.7370685807,0.8070703021,0.9492080667,0.9595582393,6.8459848206
1.0188679245,0.766008582,0.8150331936,0.9539841508,0.9684969898,6.9019848783
1.1904761905,0.7235726764,0.750552381,0.9473154806,0.9474392883,6.226486446
1.1875,0.7138564434,0.7921589689,0.9477338171,0.9566662613,6.103812668
1.1489361702,0.7403159751,0.8014184397,0.9503384415,0.9491920901,6.655767633
0.9689922481,0.7553161837,0.7819224806,0.9486230474,0.9595875033,7.4343914417
1.1101694915,0.7583463907,0.7810195368,0.9514697414,0.9592023199,7.0675193373
1.1465517241,0.6865415917,0.7605003889,0.9440029906,0.9436602727,5.8177279677
1,0.7437519246,0.768173878,0.9492428566,0.9549004051,6.7721619521
1.3881623317,0.7276125198,0.7608138344,0.9475637179,0.9445080092,6.2915422126
0.9333333333,0.767118979,0.7922380952,0.9472227888,0.9637653874,8.5337418864
1.4258760761,0.6809540813,0.7229324826,0.9411180726,0.9149810886,5.5175763529
1.2523364486,0.7500309022,0.8059352769,0.9536173296,0.9634802185,7.0873793773
1.1698113208,0.7330433014,0.7562385879,0.9505337056,0.9502413843,6.0745003135
0.9666666667,0.7582358636,0.8000718391,0.9525495134,0.9670892671,6.9968335804
0.8541667417,0.7725494405,0.8013496369,0.9531323635,0.968542086,8.5206616548
1.0344827586,0.745129256,0.7505747126,0.9467317812,0.9595444735,6.925758087
1.1844660194,0.7462616532,0.8035572179,0.9487369038,0.9620789862,7.1305941377
1.1217391304,0.7255027689,0.7626895854,0.9480600179,0.9495216516,5.8950229508
1.1018518519,0.7229039744,0.7823295985,0.9520909923,0.9563418462,5.453309342
1.4958205135,0.6781833916,0.7523003495,0.9377622737,0.9284634139,5.8722014086
1.5333332295,0.6879630823,0.7283177676,0.9465945801,0.9301744438,5.4327116688
1.2596153846,0.7491699429,0.8224089841,0.9497211781,0.9590841001,6.4079600818
1.19,0.7029998199,0.739789916,0.9412807895,0.9251747149,5.9050305241
1.1962616822,0.7435664533,0.7742041472,0.95161926,0.9602445098,6.30577255
0.9915254237,0.7482201329,0.7821599305,0.9486115839,0.9593976278,7.2392409123
1.2407407407,0.7396968355,0.8006149807,0.9476378565,0.9606184969,6.7673148966
1.2115384615,0.7465743298,0.8010912698,0.9498935323,0.9619261431,6.6191404008
1.0175438596,0.7651416792,0.8034255898,0.9545563372,0.9670064622,6.8699221021
1.198198088,0.7013165469,0.7594326433,0.9486278153,0.9365941272,5.1221295166
0.9850746269,0.761337184,0.812952284,0.9493421495,0.9686100165,7.2229730391
1.0431654676,0.750167741,0.7677251302,0.9419911958,0.9563054294,7.9790738077
1.269230662,0.7547628866,0.8311847547,0.9543721671,0.9622617642,6.3412089646
1.1714285714,0.7128022098,0.7852497096,0.9415743953,0.9437465103,6.4538921983
0.859375,0.7616205071,0.7963068182,0.9521132182,0.966385106,7.8719067386
0.9672131107,0.7360128228,0.8134206015,0.9541803819,0.9620045184,5.8941192198
0.8382571359,0.6898289946,0.756187958,0.9453683344,0.9486831062,6.1560224191
1.3007624605,0.7427591604,0.7628534893,0.9486655656,0.9475347939,6.2780833393
1.1467889908,0.7232374947,0.776146789,0.9550079576,0.9526168814,5.1438328608
1.1481481481,0.7253705905,0.7837141577,0.954281327,0.95674567,5.3374607663
0.8454102857,0.7203612733,0.7399786661,0.9438157194,0.9514000856,6.6905995465
1.1495327103,0.7234370987,0.7811716435,0.9442705847,0.9496582302,6.6659151167
0.7116947983,0.7057876327,0.752622902,0.9480232291,0.9428268701,6.1843558552
1.1076923077,0.7238004641,0.753525641,0.9380355333,0.9516934287,7.01744321
1.1416666667,0.7054686632,0.7815085158,0.9426828864,0.9415558243,6.2231410429
1.0275862069,0.7694602391,0.7800740569,0.9494452261,0.9603133903,7.7729503972
1.1203703704,0.7269003152,0.7917814509,0.9438933644,0.9518859246,6.7887450543
1.1764706146,0.729751138,0.8010214635,0.9512996394,0.9507854926,5.669614313
1.2666666667,0.6846697729,0.7443609023,0.9458132515,0.9265531687,4.9857055102
1.2222222222,0.7463420126,0.800154321,0.9489813548,0.9614801079,6.8673153733
1.0902255639,0.7254909689,0.7485610578,0.9402012242,0.9512074589,6.6570641018
0.9407894737,0.7631860154,0.7857241443,0.9471157085,0.9627113867,8.8466635618
0.8843537415,0.7367127832,0.799162742,0.9429377685,0.9628345365,7.9754183933
0.992481203,0.7618981646,0.7879642288,0.9481379348,0.9622300282,8.0117126071
1.1981981982,0.7048195324,0.7632256316,0.9495199862,0.9370451994,5.2324686435
0.9674796748,0.7460412049,0.7805902849,0.9486085618,0.9589575727,6.9378639694
1.0900900901,0.7415298319,0.7714615442,0.9482317597,0.9538341158,6.8172113159
0.9276315789,0.7661388417,0.7939296379,0.9464698582,0.9648162849,8.7564319163
1.106870229,0.7233702075,0.7534877599,0.9391971727,0.9513759638,6.9121165767
1.0673076923,0.721201955,0.7533783784,0.9416084993,0.9388966857,6.5600883137
1.5205883295,0.668769062,0.7531774962,0.9362359945,0.9251878263,5.8243891371
1.0347222222,0.743015913,0.7702274422,0.9390657039,0.9563103987,8.4622849293
1.4241050387,0.6516082856,0.7453144078,0.9332055457,0.9062291435,5.1501431204
1.1166666667,0.7506993038,0.7657649254,0.9470275766,0.9566484093,6.8745157976
1.1440677966,0.7175181793,0.7914626491,0.9470017438,0.9500414437,6.5060921483
0.9565217391,0.7602990549,0.7842007027,0.9492398447,0.962925514,7.7947400496
